,seg
526,"['正確', '墮胎', '受孕', '愚蠢', '生下', '做法', '不要']"
527,"['女生', '講白', '一點', '專門', '乖乖']"
528,"['很強', '招惹', '女性', '背景', '家庭', '人家', '甚至']"
529,['別分']
530,"['有什麼', '爆雷', '哪天', '要不然']"
531,"['生心裡', '過不去']"
532,"['裡說', '分手', '嘴巴', '放心', '朋友', '女人']"
533,[]
534,"['兩個', '中計', '還信']"
535,"['還是', '一樣', '碰到']"
536,"['沒遇', '過渣', '個性', '在意']"
537,"['價值觀', '墮胎', '觀念', '鄉民找', '各種', '芥蒂', '不合']"
538,"['因說', '歧視', '墮胎', '沒差', '時候', '特別', '介意', '女生', '不用']"
539,"['什麼', '應該', '還是', '真正', '原因', '而且', '知道', '自己']"
540,"['價值', '觀是', '辦法', '改變', '建議', '反正']"
541,"['胎事', '實下', '前渣', '開開', '心心', '之前']"
542,"['任玩花樣', '現任', '沒什麼', '房事', '保守', '除非', '不然', '跟前']"
543,"['拖著', '傷害', '介意']"
544,"['條件', '男生', '天生', '回收', '不好', '只能']"
545,"['還是', '認了', '這個', '最後還', '別人', '墮胎', '女生']"
546,"['隱藏', '性病', '啥事', '可怕', '而已']"
547,"['墮胎', '怎樣', '要生', '下來', '身體', '不成', '自己']"
548,"['負責', '離開', '朋友', '接受', '不能']"
549,"['包容', '不然', '接受']"
550,"['現在', '5.6', '怎麼', '回事', '前面', '知道']"
551,"['..', '要成', '預備', '朋友', '所以']"
552,"['怎麼', '提換', '性別', '太愛玩', '男生', '有人']"
553,"['提墮胎', '戴保險', '還會', '懷孕', '乖乖', '相信', '有人']"
554,"['玩爛', '恭喜', '回收', '安定']"
555,"['什麼', '墮胎', '當一個', '單親', '媽媽', '很棒', '在意']"
556,['朋友']
557,"['那個', '朋友', '一次']"
558,"['價值觀', '問題', '無法', '裡的', '放生', '成心', '疙瘩', '不然', '接受']"
559,"['影響', '兩人', '相處']"
560,"['單親', '媽媽', '胎妹', '好多']"
561,"['前男友', '費玉清', '講過', '一個', '那段', '想到']"
562,"['有處', '情結', '直接']"
563,"['男友', '現任', '離開', '前渣', '來亂', '目的']"
564,"['估計', '前男友', '身體', '愛了']"
565,"['會講', '對方', '絕對', '肥宅', '包容']"
566,"['別人', '這樣', '覺得', '朋友']"
567,"['問題', '一個']"
568,"['那個', '擔心', '他們', '倒不如', '朋友', '真的']"
569,"['選擇', '這局', '你現', '女友', '老婆', '只要', '自己']"
570,"['熱心', '日後會', '變成', '質疑', '基礎', '公正', '利用']"
571,"['這件', '事負', '起責任', '他們', '權責', '問題', '既然']"
572,"['幫忙', '給建議', '分際要', '抓好', '尊重', '不能', '可以']"
573,"['一個', '決定', '負責後果', '好人', '只要', '需要', '自己']"
574,"['覺得', '分際', '結果', '好心', '只要', '自己']"
575,"['證騷擾', '時上', '來院', '證據', '以防', '必要']"
576,"['證騷擾', '時上', '證據', '情事', '以防', '法院', '必要']"
577,"['這個', '認真', '講太大', '介意', '疙瘩', '分手', '真的']"
578,"['離婚', '墮過', '在意', '一堆', '小孩', '差不多']"
579,"['何時', '而已', '遇到']"
580,"['以後問題', '女方', '小孩', '更好', '而且']"
581,['先承認']
582,"['表弟', '表哥', '幾位', '封鎖', '年代']"
583,"['你們', '男友', '好不好', '清楚']"
584,"['那個', '3p', '撐過', '男友', '不在意', '一次']"
585,"['講個', '幾句', '不在意', '在意', '分手', '就算', '可能']"
586,"['以後有爭', '執都會', '來酸', '現在', '這樣', '討論', '交往', '拿出']"
587,"['其實', '處講', '這件', '男友', '不在意', '女生']"
588,"['那麼', '女友', '在意', '事情']"
589,"['有處', '情結', '表兄弟', '女友', '姐妹', '除非', '不然']"
590,"['玩別', '回頭']"
591,"['在意', '還是', '女友', '搞清楚', '自己']"
592,"['會用', '實屬', '暈船', '社出', '八九成', '猴子']"
593,"['現代', '那個', '做過', '表弟', '女生', '男人']"
594,"['不愛吧', '夠愛', '在意', '朋友', '最好', '根本']"
595,"['不愛', '耽誤', '女生', '分手', '人家']"
596,['沒救']
597,"['每個', '選擇', '代價', '付出', '需要']"
598,"['之類', '沒什麼', '男內射', '墮胎', '打炮']"
599,"['騷法', '不會', '介意', '分手']"
600,"['起舞', '猴子', '必要']"
601,"['往好', '變單', '親媽', '媽後才', '生下', '朋友', '至少']"
602,"['不過', '個性', '帶著', '一個', '不介意', '小孩']"
603,[]
604,"['男約', '出來']"
605,['扯平']
606,"['蒼蠅', '記住', '甚麼', '大便', '珍惜', '真的']"
607,"['怎麼', '不在意', '在意', '可能']"
608,"['謝謝', '接盤']"
609,"['在意', '永遠', '放手', '不如']"
610,"['墮胎', '有什麼', '驚小怪', '正常']"
611,['一個']
612,"['業者', '吞下去', '乖乖', '回收']"
613,"['台灣', '那麼', '幹嘛', '這種', '受罪', '女人', '自己']"
614,"['小模', '哪個', '這樣講', '新竹', '回收']"
615,"['我無法', '衡量', '自己']"
616,"['新聞', '妹用', '手機', '追劇', '驚見', '性侵', '昏睡', '男友']"
617,"['https', 'www', 'ptt', 'cc', 'bbs', 'WomenTalk', 'M.1668148476']"
618,"['BB5', 'html']"
619,"['我無法', '你會', '發文', '疑慮', '代表']"
620,"['騷法告', '前男友']"
621,['一波']
622,['那個']
623,"['他講', '在意', '真的', '不要']"
624,"['難道', '朋友', '到底', '相信', '知道']"
625,"['沒辦法', '已經', '無解', '洩憤', '三餐', '打到', '在意', '只能']"
626,"['求放過', '正妹', '爸托', '女孩', '真的']"
627,"['倒楣', '女生', '遇到', '只是']"
628,"['認識過', '兩個', '類似', '經歷', '拿過', '兩次', '現在', '女生', '小孩']"
629,"['對象', '穩定', '一個', '經生', '第四', '感情', '其中']"
630,['...']
631,"['資源', '車已', '經來', '回收']"
632,"['這個', '過程', '這在業界', '種獎賞', '享受']"
633,"['機會', '對面', '故事', '可以']"
634,"['一直', '眼睛']"
635,"['前男友', '個路', '講得', '這麼', '心裡', '根本就是']"
636,"['實屬', '難得', '相處', '管路', '葡萄', '好好', '不到', '方面']"
637,['酸特酸']
638,"['飯票', '甚麼', '認為']"
